0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:57 -0500] "GET /reverselogic/Empleado?enviar=ConsultarEmple HTTP/1.1" 200 8125
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:57 -0500] "GET /reverselogic/Empleado?enviar=ConsultarEmple HTTP/1.1" 200 8125
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:57 -0500] "GET /reverselogic/css/cards.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:42:57 -0500] "GET /reverselogic/js/modal1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:43:01 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:43:59 -0500] "GET /reverselogic/Cliente?enviar=cliente HTTP/1.1" 200 3094
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:43:59 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:44:11 -0500] "GET /reverselogic/Cliente?enviar=ConsultarClient HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:44:12 -0500] "GET /reverselogic/js/modal2.js HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:44:54 -0500] "GET /reverselogic/Cliente?enviar=registerClient HTTP/1.1" 200 2848
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:45:28 -0500] "POST /reverselogic/Cliente HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:45:43 -0500] "POST /reverselogic/Cliente HTTP/1.1" 200 5070
